Jun 1st,,,1 effort =,Distance,1,,,Pace,Hours at pace,,,,,,,,,,,,,,,
Twilight start,3:35,,,Asc,125,,,6,0,0,,,,,,,,,,,,,,
Sunrise,4:36,,,Desc,375,,,6.5,,0,,,,,,,,,,,,,,
Solar Max,13:18,,,,,,,7,0,0,,,,,,,,,,,,,,
Sunset,22:00,,,,,,,7.5,10,10,,,,,,,,,,,,,,
Twilight end,23:02,,,,,,,8,10,20,,,,,,,,,,,,,,
Daylight time,17:24,,,,,,,8.5,10,30,,,,,,,,,,,,,,
,,,,,,,,9,6,36,,,,,,,,,,,,,,
,,,,,,,,9.5,6,42,,,,,,,,,,,,,,
,,,,,,,,10,24,66,,,,,,,,,,,,,,
https://www.strava.com/routes/3290674179688104408,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cumulative,,,,,,,,,,,,Actual,,,,
Where,Hours,Time of day,Total hours,Dist,Asc,Desc,,Dist,Asc,Desc,Notes,,Effort,Min / effort,Mins,,,,Mins,Cumulative,Hours,Diff,Cumulative,Min / unit
Campsite,,06:00,,0,,,,0,,,,,0.00,,0.0,0.0,,Youth Hostel,,0,,,,
BMC (subtracted 4 from distance as can cycle to posties path car park),4:07,10:07,4:07,15.40,1778,1236,,19.4,1778,1236,"via posties path, to last top",,32.92,7.5,246.9,246.9,,,0,,0:00,-246.9,-246.90,0.00
Stac ,1:49,11:56,5:56,8.89,528,527,,28.29,2306,1763,to top,,14.52,7.5,108.9,355.8,,,0,,0:00,-108.895,-355.80,0.00
Cul Beag,1:15,13:10,7:10,4.43,564,373,,32.72,2870,2136,to top via scramble,,9.94,7.5,74.5,430.3,,,0,,0:00,-4.92,-360.72,0.00
Cul Mor,1:36,14:46,8:46,5.45,713,616,,38.17,3583,2752,,,12.80,7.5,96.0,526.3,,,0,,0:00,Err:509,Err:509,0.00
Suilven,1:60,16:46,10:46,8.67,649,799,,46.84,4232,3551,full traverse,,15.99,7.5,119.9,646.2,,,0,,0:00,Err:509,Err:509,0.00
Canisp,1:50,18:36,12:36,6.14,734,637,,52.98,4966,4188,camp?,,13.71,8.0,109.7,755.9,,,0,,0:00,Err:509,Err:509,0.00
Breabag,2:23,20:59,14:59,10.33,720,674,,63.31,5686,4862,,,17.89,8.0,143.1,899.0,,,0,,0:00,Err:509,Err:509,0.00
Conival (via BMA),2:03,23:02,17:02,7.65,771,593,,70.96,6457,5455,traverse to BMA,,15.40,8.0,123.2,1022.2,,,0,,0:00,Err:509,Err:509,0.00
Glas Bheinn,1:46,00:48,18:48,9.19,328,526,,80.15,6785,5981,,,13.22,8.0,105.7,1128.0,,,0,,0:00,Err:509,Err:509,0.00
Quinag (final top),3:13,04:00,22:00,12.90,1033,1089,,93.05,7818,7070,,,24.07,8.0,192.5,1320.5,,,0,,0:00,Err:509,Err:509,0.00
Quinag car park,0:42,04:42,22:42,3.24,42,504,,96.29,7860,7574,,,4.92,8.5,41.8,1362.3,,,0,,0:00,-41.82,Err:509,0.00
,22:42,,,92.29,7860,7574,,,,,,,175.37,,1362.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Food,,,,,,,,,,,Assynt Traverse,,OR,,,,,,,,,,,
Total Calories,,,,3750,,,,,,,Bike to campsite from Quinag Car Park,,cycle to campsite from ardvrek,,,,,,,,,,,
Hours,,,,15,,,,,,,Catch 8am ish bus,,,,,,,,,,,,,
Per hour,,,,250,,,,,,,Get off at campsite at 8:40,,,,,,,,,,,,,
,,,,,,,,,,,Go back to car,,,,,,,,,,,,,
,,,,Weight,Cal,Num,,Total Weight,Total Cal,,,,,,,,,,,,,,,
Nature Valley Salt,,,,30,139,1,,30,139,,,,,,,,,,,,,,,
Nature Valley Protein,,,,40,198,1,,40,198,,Ben Mor Coigach (all tops),,,,,,,,,,,,,
Haribo,,,,100,349,3,,300,1047,,Stac Pollaidh,,,,,,,,,,,,,
Chocolate,,,,100,500,1.8,,180,900,,Cul Beag (via scramble),,,,,,,,,,,,,
Gels,,,,60,87,1,,60,87,,Cul Mor,,,,,,,,,,,,,
Mixed Nuts,,,,100,600,2,,200,1200,,Full traverse of Suilven,,,,,,,,,,,,,
Clif,,,,68,255,4,,272,1020,,Canisp,,,,,,,,,,,,,
,,,,,,,,1082,4591,, ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Breabag (corbett),,,,,,,,,,,,,
,,,,,,,,,,,BMA ,,,,,,,,,,,,,
,,,,,,,,,,,Conival,,,,,,,,,,,,,
,,,,,,,,,,,Glas Bheinn (corbett),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Quinag,,,,,,,,,,,,,
