Sep 2nd ,,,1 effort =,Distance,1,,,Pace,Hours at pace,,,,,,,,,,,,,,,,,,,,,,,,,,
Twilight start,5:43,,,Asc,125,,,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Sunrise,6:24,,,Desc,375,,,7.5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
Solar Max,13:20,,,,,,,8,2,5,,,,,,,,,,,,,,,,,,,,,,,,,
Sunset,20:14,,,,,,,8.5,2,7,,,,,,,,,,,,,,,,,,,,,,,,,
Twilight end,20:54,,,,,,,9,20,27,,,,,,,,,,,,,,,,,,,,,,,,,
Daylight time,13:50,,,,,,,9,0,27,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,0,27,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,0,27,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,24,51,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cumulative,,,,,,,,,,,,Actual,,,,,,,,,,,,,,,
Where,Hours,Time of day,Total Hours,Dist,Asc,Desc,,Dist,Asc,Desc,Notes,,Effort,Min / effort,Mins,,,,Mins,Cumulative,,,Hours,Diff,Cumulative,Min / unit,,FW Mins,Diff,Ratio,,My Tranters Mins,Diff,Ratio,
Fersit Dam,,05:00,,0,,,,0,,,Water – start with 1.5L,,0.00,,0.0,0.0,,Youth Hostel,,0,,,,,,,,0,,,,,,,
Stob a’ Choire Mheadhoin,1:28,06:28,1:28,5.63,872.75,0.00,,5.63,873,0,,,12.61,7.0,88.3,88.3,,Stob a’ Choire Mheadhoin,Err:509,977,16,17,Err:509,Err:509,Err:509,Err:509,,64,24.28,1.4,,,,,
Stob Coire Easian,0:19,06:47,1:47,1.16,101,190,,6.79,974,190,,,2.48,7.5,18.6,106.9,,Stob Coire Easian,35,1012,16,52,0:35,16.43,Err:509,14.14,,14,4.57,1.3,,,,,
River,0:33,07:20,2:20,2.39,38,652,,9.18,1012,842,Water – refill bottles – on descent,,4.44,7.5,33.3,140.1,,River,-1012,0,,,-17:08,-1045.27,Err:509,-228.14,,17,16.27,2.0,,,,,
Stob Ban 2,0:47,08:07,3:07,2.21,503,0,,11.39,1516,842,Water – refill bottles – stream on ascent,,6.24,7.5,46.8,186.9,,Stob Ban 2,0,0,,,0:00,-46.78,Err:509,0.00,,37,9.78,1.3,,,,,
Stob Choire Claurigh,0:41,08:48,3:48,1.97,364,109,,13.36,1880,951,Water if needed - near bealach? ,,5.17,8.0,41.4,228.3,,Stob Choire Claurigh,0,0,,,0:00,-41.37,Err:509,0.00,,28,13.37,1.5,,49,-49.00,0.00,
Stob Coire An Laoigh,0:40,09:28,4:28,2.99,167,233,,16.35,2047,1184,,,4.95,8.0,39.6,267.9,,Stob Coire An Laoigh,0,0,,,0:00,-39.58,Err:509,0.00,,25,14.58,1.6,,37,-37.00,0.00,
Sgurr Choinnich Mor,0:32,10:00,5:00,2.04,182,200,,18.39,2229,1384,Water – refill to 1.5L – stream on shortcut,,4.03,8.0,32.3,300.1,,Sgurr Choinnich Mor,0,0,,,0:00,-32.27,Err:509,0.00,,22,10.27,1.5,,37,-37.00,0.00,
Aonach Beag,1:21,11:21,6:21,4.01,555,402,,22.4,2784,1786,,,9.52,8.5,80.9,381.1,,Aonach Beag,0,0,,,0:00,-80.95,Err:509,0.00,,49,31.95,1.7,,75,-75.00,0.00,
Aonach Mor,0:29,11:50,6:50,1.80,154,147,,24.2,2938,1933,,,3.42,8.5,29.1,410.2,,Aonach Mor,0,0,,,0:00,-29.10,Err:509,0.00,,15,14.10,1.9,,36,-36.00,0.00,
Carn Mor Dearg,0:60,12:50,7:50,2.62,412,421,,26.82,3350,2354,Water – refill to 1.5L – stream on descent,,7.04,8.5,59.8,470.0,,Carn Mor Dearg,0,0,,,0:00,-59.84,Err:509,0.00,,32,27.84,1.9,,57,-57.00,0.00,
Ben Nevis,0:49,13:39,8:39,2.11,339,217,,28.93,3689,2571,,,5.40,9.0,48.6,518.6,,Ben Nevis,0,0,,,0:00,-48.56,Err:509,0.00,,30,18.56,1.6,,67,-67.00,0.00,long break 
Youth Hostel,1:16,14:55,9:55,4.66,0,1421,,33.59,3689,3992,,,8.45,9.0,76.0,594.6,,Youth Hostel,0,0,,,0:00,-76.05,Err:509,0.00,,35,41.05,2.2,,99,-99.00,0.00,longer route
,9:55,,,33.59,3688.8658993922,3992.2410448726,,,,,,,73.75,,594.6,,,,,,,,,,,,,368.00,226.63,1.6,,,,,
