May 5th,,,1 effort =,Distance,1,,,Pace,Hours at pace,,,,,,,,,,,,,,,,,,,
Twilight start,4:29,,,Asc,125,,,6,0,0,,,,,,,,,,,,,,,,,,
Sunrise,5:18,,,Desc,375,,,6.5,3,3,,,,,,,,,,,,,,,,,,
Solar Max,13:13,,,,,,,7,3,6,,,,,,,,,,,,,,,,,,
Sunset,21:10,,,,,,,7.5,20,26,,,,,,,,,,,,,,,,,,
Twilight end,23:02,,,,,,,8,10,36,,,,,,,,,,,,,,,,,,
Daylight time,15:52,,,,,,,8.5,10,46,,,,,,,,,,,,,,,,,,
,,,,,,,,9,6,52,,,,,,,,,,,,,,,,,,
,,,,,,,,9.5,6,58,,,,,,,,,,,,,,,,,,
,,,,,,,,10,24,82,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cumulative,,,,,,,,,,,,Actual,,,,,,,,
Where,Hours,Time of day,,Dist,Asc,Desc,,Dist,Asc,Desc,Notes,,Effort,Min / effort,Mins,,,,Mins,Cumulative,Hours,Diff,Cumulative,Min / unit,,FW Mins,Diff,Ratio
Cluanie,,07:00,,0,,,,0,,,,,0.00,,0.0,0.0,,Cluanie,,0,,,,,,0,,
Creag a Mhaim,1:18,08:18,1:18,5.53,802,7,,5.53,802,7,,,11.97,6.5,77.8,77.8,,Creag a Mhaim,65,65,1:05,-12.79,-12.79,5.43,,47,18.00,1.4
Druim Shionnach,0:18,08:36,1:36,1.58,130,72,,7.11,933,79,,,2.82,6.5,18.3,96.1,,Druim Shionnach,16,81,0:16,-2.31,-15.10,5.68,,11,5.00,1.5
Aonach Air Chrith,0:31,09:07,2:07,2.61,211,174,,9.72,1144,253,slight diversion to water to left,,4.76,6.5,30.9,127.0,,Aonach Air Chrith,26,107,0:26,-4.93,-20.03,5.46,,17,9.00,1.5
Maol Chinn Dearg,0:29,09:36,2:36,2.28,201,235,,12,1345,488,,,4.52,6.5,29.4,156.4,,Maol Chinn Dearg,27,134,0:27,-2.36,-22.40,5.98,,18,9.00,1.5
Sgurr an Doire Leathain,0:31,10:07,3:07,2.43,213,215,,14.43,1558,703,,,4.71,6.5,30.6,187.0,,Sgurr an Doire Leathain,27,161,0:27,-3.60,-25.99,5.74,,18,9.00,1.5
Sgurr an Lochain,0:20,10:27,3:27,1.34,142,135,,15.77,1700,838,,,2.84,7.0,19.9,206.8,,Sgurr an Lochain,17,178,0:17,-2.85,-28.84,5.99,,11,6.00,1.5
Creag Nan Damh,0:36,11:03,4:03,2.60,213,315,,18.37,1913,1153,,,5.14,7.0,36.0,242.8,,Creag Nan Damh,32,210,0:32,-4.00,-32.84,6.22,,22,10.00,1.5
Sgurr na Sgine,1:06,12:09,5:09,4.45,472,446,,22.82,2384,1599,water bealach?,,9.41,7.0,65.9,308.7,,Sgurr na Sgine,70,280,1:10,4.11,-28.74,7.44,,44,26.00,1.6
The Saddle,0:41,12:50,5:50,2.64,323,252,,25.46,2707,1851,Water – full refill,,5.89,7.0,41.3,350.0,,The Saddle,55,335,0:55,13.74,-15.00,9.33,,30,25.00,1.8
Biod An Faithich,0:45,13:35,6:35,3.40,173,631,,28.86,2880,2482,,,6.46,7.0,45.3,395.2,,Biod An Faithich,50,385,0:50,4.75,-10.25,7.73,,36,14.00,1.4
Road,0:50,14:25,7:25,4.57,34,675,,33.43,2914,3157,water on long descent,,6.65,7.5,49.8,445.1,,Road,55,440,0:55,5.16,-5.09,8.28,,31,24.00,1.8
Sgurr a Moraich,1:44,16:09,9:09,5.24,1047,84,,38.67,3962,3241,Water – full refill – could avoid top to get higher,,13.84,7.5,103.8,548.9,,Sgurr a Moraich,107,547,1:47,3.18,-1.91,7.73,,59,48.00,1.8
Sgurr Fhuran,0:49,16:58,9:58,3.77,256,260,,42.44,4218,3501,,,6.51,7.5,48.9,597.8,,Sgurr Fhuran,42,589,0:42,-6.86,-8.77,6.45,,42,0.00,1.0
Sgurr na Carnach,0:28,17:25,10:25,0.69,309,193,,43.13,4527,3694,,,3.68,7.5,27.6,625.4,,Sgurr na Carnach,22,611,0:22,-5.59,-14.36,5.98,,15,7.00,1.5
Sgurr na Ciste Dubhe,0:23,17:48,10:48,1.41,161,125,,44.54,4689,3819,,,3.03,7.5,22.8,648.1,,Sgurr na Ciste Dubhe,29,640,0:29,6.25,-8.11,9.56,,17,12.00,1.7
Saileag,0:60,18:48,11:48,3.85,370,441,,48.39,5059,4260,,,7.98,7.5,59.9,708.0,,Saileag,59,699,0:59,-0.87,-8.98,7.39,,37,22.00,1.6
Sgurr a Bhealach Dherig,0:32,19:20,12:20,2.02,224,152,,50.41,5283,4412,,,4.22,7.5,31.7,739.6,,Sgurr a Bhealach Dherig,31,730,0:31,-0.66,-9.64,7.34,,21,10.00,1.5
Aonach Mheadhoin,0:31,19:51,12:51,1.87,208,237,,52.28,5491,4649,,,4.17,7.5,31.3,770.9,,Aonach Mheadhoin,27,757,0:27,-4.26,-13.91,6.48,,20,7.00,1.4
Cluanie,0:56,20:47,13:47,4.02,109,951,,56.3,5600,5600,,,7.43,7.5,55.7,826.6,,Cluanie,56,813,0:56,0.30,-13.61,7.54,,32,24.00,1.8
,13:47,,,56.3,5600,5600,,,,,,,116.03,,826.6,,,,,,,,,,,528.00,285.00,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2l at start,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Calories,,,,4000,,,,,,,,,,,,,,,,,,,,,,,,
Hours,,,,16,,,,,,,,,,,,,,,,,,,,,,,,
Per hour,,,,250,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Weight,Cal,Num,,Total Weight,Total Cal,,,,,,,,,,,,,,,,,,,
Nature Valley Salt,,,,30,139,5,,150,695,,,,,,,,,,,,,,,,,,,
Nature Valley Protein,,,,40,198,2,,80,396,,,,,,,,,,,,,,,,,,,
Haribo,,,,100,349,3.5,,350,1221.5,,,,,,,,,,,,,,,,,,,
Chocolate,,,,100,500,0,,0,0,,,,,,,,,,,,,,,,,,,
Gels,,,,60,87,3,,180,261,,,,,,,,,,,,,,,,,,,
Mixed Nuts,,,,100,600,3,,300,1800,,,,,,,,,,,,,,,,,,,
Clif,,,,68,255,3,,204,765,,,,,,,,,,,,,,,,,,,
,,,,,,,,1264,5138.5,,,,,,,,,,,,,,,,,,,
